Time,External Nutrition,Internal Nutrition,Active Hyphal,Inactive Hyphal,Tip
0,156250,0.0156254796744221,1,0,14
1,156249.9999999,0.0156263324284955,1,0,14
2,156249.9999998,0.015627200175175,1,0,14
3,156249.999999699,0.015628080564571,1,0,14
4,156249.999999597,0.0156289766141863,1,0,14
5,156249.999999493,0.0156298939922675,1,0,14
6,156249.999999387,0.0156308393506677,1,0,14
7,156249.999999278,0.0156318193499565,1,0,14
8,156249.999999165,0.0156328401383887,1,0,14
9,156249.999999047,0.0156339071262039,1,0,14
10,156249.999998924,0.0156350249475761,1,0,14
11,156249.999998796,0.0156361975355712,1,0,14
12,156249.999998661,0.0156374282578095,1,0,14
13,156249.99999852,0.0156387200764404,1,0,14
14,156249.999998372,0.0156400757079181,1,0,14
15,156249.999998216,0.0156414977671917,1,0,14
16,156249.999998053,0.015642988887946,1,0,14
17,156249.999997883,0.0156445518157931,1,0,14
18,156249.999997703,0.0156461894750542,1,0,14
19,156249.999997516,0.0156479050121964,1,0,14
20,156249.999997319,0.0156497018203153,1,0,14
21,156249.999997113,0.0156515835495202,1,0,14
22,156249.999996897,0.0156535541079123,1,0,14
23,156249.999996671,0.015655617657275,1,0,14
24,156249.999996434,0.0156577786067942,1,0,14
25,156249.999996186,0.0156600416072636,1,0,14
26,156249.999995927,0.0156624115474007,1,0,14
27,156249.999995655,0.0156648935531833,1,0,14
28,156249.99999537,0.0156674929905481,1,0,14
29,156249.999995072,0.0156702154713813,1,0,14
30,156249.99999476,0.0156730668624684,1,0,14
31,156249.999994433,0.0156760532969342,1,0,14
32,156249.99999409,0.0156791811876649,1,0,14
33,156249.999993731,0.0156824572422371,1,0,14
34,156249.999993356,0.0156858884789541,1,0,14
35,156249.999992962,0.0156894822436855,1,0,14
36,156249.99999255,0.0156932462273052,1,0,14
37,156249.999992118,0.0156971884836187,1,0,14
38,156249.999991666,0.0157013174477443,1,0,14
39,156249.999991192,0.0157056419549752,1,0,14
40,156249.999990696,0.0157101712601883,1,0,14
41,156249.999990177,0.0157149150578938,1,0,14
42,156249.999989633,0.0157198835030294,1,0,14
43,156249.999989063,0.0157250872326048,1,0,14
44,156249.999988466,0.0157305373882998,1,0,14
45,156249.999987841,0.0157362456401089,1,0,14
46,156249.999987186,0.0157422242111177,1,0,14
47,156249.9999865,0.0157484859034854,1,0,14
48,156249.999985782,0.015755044125704,1,0,14
49,156249.99998503,0.0157619129211939,1,0,14
50,156249.999984242,0.0157691069982989,1,0,14
51,156249.999983417,0.0157766417617385,1,0,14
52,156249.999982553,0.0157845333455775,1,0,14
53,156249.999981647,0.0157927986477772,1,0,14
54,156249.999980699,0.0158014553663945,1,0,14
55,156249.999979706,0.0158105220375004,1,0,14
56,156249.999978666,0.015820018074894,1,0,14
57,156249.999977577,0.015829963811695,1,0,14
58,156249.999976436,0.0158403805439004,1,0,14
59,156249.999975242,0.0158512905759979,1,0,14
60,156249.99997399,0.0158627172687347,1,0,14
61,156249.999972679,0.0158746850891423,1,0,14
62,156249.999971307,0.0158872196629273,1,0,14
63,156249.999969869,0.0159003478293396,1,0,14
64,156249.999968363,0.0159140976986373,1,0,14
65,156249.999966786,0.0159284987122712,1,0,14
66,156249.999965134,0.0159435817059199,1,0,14
67,156249.999963404,0.015959378975509,1,0,14
68,156249.999961592,0.0159759243463572,1,0,14
69,156249.999959694,0.0159932532455978,1,0,14
70,156249.999957707,0.0160114027780293,1,0,14
71,156249.999955625,0.0160304118055588,1,0,14
72,156249.999953445,0.0160503210304077,1,0,14
73,156249.999951161,0.0160711730822573,1,0,14
74,156249.999948769,0.0160930126095217,1,0,14
75,156249.999946264,0.0161158863749416,1,0,14
76,156249.99994364,0.0161398433557062,1,0,14
77,156249.999940893,0.016164934848314,1,0,14
78,156249.999938014,0.0161912145784003,1,0,14
79,156249.999935,0.016218738815764,1,0,14
80,156249.999931843,0.0162475664948405,1,0,14
81,156249.999928536,0.0162777593408799,1,0,14
82,156249.999925073,0.0163093820020981,1,0,14
83,156249.999921446,0.016342502188086,1,0,14
84,156249.999917647,0.0163771908147708,1,0,14
85,156249.999913668,0.0164135221562424,1,0,14
86,156249.999909501,0.0164515740037663,1,0,14
87,156249.999905136,0.0164914278323271,1,0,14
88,156249.999900565,0.0165331689750551,1,0,14
89,156249.999895777,0.0165768868059128,1,0,14
90,156249.999890763,0.0166226749310299,1,0,14
91,156249.999885511,0.0166706313890964,1,0,14
92,156249.99988001,0.0167208588612439,1,0,14
93,156249.999874249,0.0167734648908626,1,0,14
94,156249.999868215,0.0168285621138251,1,0,14
95,156249.999861895,0.0168862684996093,1,0,14
96,156249.999855276,0.0169467076038356,1,0,14
97,156249.999848344,0.0170100088327605,1,0,14
98,156249.999841083,0.0170763077202896,1,0,14
99,156249.999833478,0.0171457462181046,1,0,14
100,156249.999825513,0.017218472999524,1,0,14
101,156249.999817172,0.0172946437777478,1,0,14
102,156249.999808435,0.0173744216391652,1,0,14
103,156249.999799284,0.0174579773924409,1,0,14
104,156249.9997897,0.0175454899341235,1,0,14
105,156249.999779662,0.0176371466315595,1,0,14
106,156249.999769149,0.0177331437239308,1,0,14
107,156249.999758138,0.0178336867422734,1,0,14
108,156249.999746605,0.0179389909493747,1,0,14
109,156249.999734527,0.0180492818004902,1,0,14
110,156249.999721876,0.018164795425864,1,0,14
111,156249.999708627,0.0182857791360837,1,0,14
112,156249.999694749,0.0184124919513506,1,0,14
113,156249.999680215,0.0185452051557959,1,0,14
114,156249.999664993,0.0186842028780259,1,0,14
115,156249.999649049,0.018829782699138,1,0,14
116,156249.999632351,0.0189822562895058,1,0,14
117,156249.999614862,0.0191419500756918,1,0,14
118,156249.999596545,0.0193092059389145,1,0,14
119,156249.99957736,0.0194843819465588,1,0,14
120,156249.999557267,0.0196678531182932,1,0,14
121,156249.999536223,0.0198600122284272,1,0,14
122,156249.999514182,0.020061270646224,1,0,14
123,156249.999491097,0.0202720592159593,1,0,14
124,156249.999466919,0.0204928291786047,1,0,14
125,156249.999441597,0.0207240531371022,1,0,14
126,156249.999415075,0.020966226067289,1,0,14
127,156249.999387297,0.0212198663766264,1,0,14
128,156249.999358204,0.0214855170129922,1,0,14
129,156249.999327734,0.0217637466258996,1,0,14
130,156249.99929582,0.0220551507826158,1,0,14
131,156249.999262396,0.0223603532417739,1,0,14
132,156249.999227388,0.0226800072871894,1,0,14
133,156249.999190724,0.0230147971247215,1,0,14
134,156249.999152323,0.023365439345156,1,0,14
135,156249.999112103,0.0237326844562203,1,0,14
136,156249.99906998,0.0241173184869907,1,0,14
137,156249.999025862,0.0245201646681079,1,0,14
138,156249.998979655,0.0249420851913735,1,0,14
139,156249.99893126,0.025383983052463,1,0,14
140,156249.998880573,0.0258468039806781,1,0,14
141,156249.998827487,0.0263315384598347,1,0,14
142,156249.998771887,0.0268392238445783,1,0,14
143,156249.998713655,0.0273709465766201,1,0,14
144,156249.998652666,0.0279278445055959,1,0,14
145,156249.998588789,0.0285111093194709,1,0,14
146,156249.998521888,0.0291219890896423,1,0,14
147,156249.998451819,0.0297617909361339,1,0,14
148,156249.998378433,0.0304318838185264,1,0,14
149,156249.998301572,0.0311337014585322,1,0,14
150,156249.998221073,0.0318687454003986,1,0,14
151,156249.998136763,0.0326385882156093,1,0,14
152,156249.998048461,0.0334448768586577,1,0,14
153,156249.997955979,0.0342893361809788,1,0,14
154,156249.997859118,0.0351737726104562,1,0,14
155,156249.997757673,0.0361000780042645,1,0,14
156,156249.997651424,0.037070233683166,1,0,14
157,156249.997540147,0.0380863146557608,1,0,14
158,156249.997423602,0.0391504940415757,1,0,14
159,156249.997301539,0.0402650477022935,1,0,14
160,156249.997173699,0.0414323590908526,1,0,14
161,156249.997039808,0.0426549243285904,1,0,14
162,156249.996899579,0.0439353575210785,1,0,14
163,156249.996752713,0.0452763963237867,1,0,14
164,156249.996598895,0.0466809077692162,1,0,14
165,156249.996437797,0.0481518943676837,1,0,14
166,156249.996269075,0.0496925004944942,1,0,14
167,156249.996092367,0.0513060190768186,1,0,14
168,156249.995907296,0.0529958985942021,1,0,14
169,156249.995713467,0.054765750407261,1,0,14
170,156249.995510466,0.0566193564297885,1,0,14
171,156249.995297858,0.0585606771601789,1,0,14
172,156249.995075189,0.060593860088797,1,0,14
173,156249.994841984,0.062723248498674,1,0,14
174,156249.994597744,0.0649533906776872,1,0,14
175,156249.994341949,0.0672890495612023,1,0,14
176,156249.994074051,0.0697352128249999,1,0,14
177,156249.993793478,0.0722971034491985,1,0,14
178,156249.993499632,0.0749801907748031,1,0,14
179,156249.993191886,0.0777902020754701,1,0,14
180,156249.992869582,0.0807331346680789,1,0,14
181,156249.992532032,0.0838152685867354,1,0,14
182,156249.992178517,0.0870431798459184,1,0,14
183,156249.991808282,0.0904237543195996,1,0,14
184,156249.991420538,0.0939642022643382,1,0,14
185,156249.991014457,0.0976720735155623,1,0,14
186,156249.990589174,0.101555273387511,1,0,14
187,156249.990143782,0.105622079308618,1,0,14
188,156249.989677332,0.109881158225475,1,0,14
189,156249.989188829,0.114341584809916,1,0,14
190,156249.988677235,0.119012860505226,1,0,14
191,156249.988141457,0.123904933448994,1,0,14
192,156249.987580357,0.129028219311663,1,0,14
193,156249.986992738,0.134393623091493,1,0,14
194,156249.986377352,0.140012561908283,1,0,14
195,156249.985732888,0.145896988839931,1,0,14
196,156249.985057976,0.152059417847717,1,0,14
197,156249.984351181,0.15851294983799,1,0,14
198,156249.983611,0.165271299909855,1,0,14
199,156249.982835861,0.172348825840397,1,0,14
200,156249.982024118,0.179760557860961,1,0,14
201,156249.981174047,0.187522229780075,1,0,14
202,156249.980283843,0.195650311510696,1,0,14
203,156249.979351619,0.20416204306161,1,0,14
204,156249.978375398,0.213075470054998,1,0,14
205,156249.97735311,0.222409480834466,1,0,14
206,156249.976282591,0.232183845230049,1,0,14
207,156249.975161572,0.242419255049086,1,0,14
208,156249.973987682,0.253137366364074,1,0,14
209,156249.972758439,0.264360843671496,1,0,14
210,156249.971471243,0.276113405996984,1,0,14
211,156249.970123375,0.288419875025214,1,0,14
212,156249.96871199,0.301306225336383,1,0,14
213,156249.96723411,0.314799636831009,1,0,14
214,156249.965686619,0.328928549429561,1,0,14
215,156249.964066257,0.343722720134428,1,0,14
216,156249.962369614,0.359213282544539,1,0,14
217,156249.960593119,0.375432808915044,1,0,14
218,156249.958733041,0.392415374856624,1,0,14
219,156249.956785472,0.410196626771046,1,0,14
220,156249.954746328,0.428813852121512,1,0,14
221,156249.952611335,0.448306052638086,1,0,14
222,156249.950376023,0.468714020560083,1,0,14
223,156249.948035718,0.490080418018668,1,0,14
224,156249.945585529,0.512449859664427,1,0,14
225,156249.943020346,0.535868998642704,1,0,14
226,156249.940334821,0.560386616028396,1,0,14
227,156249.937523366,0.586053713817846,1,0,14
228,156249.934580137,0.612923611589776,1,0,14
229,156249.931499026,0.641052046936866,1,0,14
230,156249.928273646,0.670497279772192,1,0,14
231,156249.924897324,0.701320200611604,1,0,14
232,156249.921363085,0.733584442930714,1,0,14
233,156249.917663639,0.767356499691603,1,0,14
234,156249.913791373,0.802705844130053,1,0,14
235,156249.909738328,0.839705054888709,1,0,14
236,156249.905496194,0.878429945575336,1,0,14
237,156249.901056289,0.918959698817325,1,0,14
238,156249.896409546,0.961377004875284,1,0,14
239,156249.891546499,1.0057682048669,1,0,14
240,156249.886457264,1.05222343864491,1,0,14
241,156249.881131521,1.10083679734677,1,0,14
242,156249.875558502,1.15170648063733,1,0,14
243,156249.869726968,1.20493495862976,1,0,14
244,156249.863625194,1.26062913846009,1,0,14
245,156249.857240946,1.31890053546422,1,0,14
246,156249.850561468,1.37986544888211,1,0,14
247,156249.843573454,1.44364514198446,1,0,14
248,156249.836263036,1.51036602648612,1,0,14
249,156249.828615756,1.58015985107435,1,0,14
250,156249.820616551,1.65316389384176,1,0,14
251,156249.812249726,1.72952115836936,1,0,14
252,156249.803498933,1.80938057315877,1,0,14
253,156249.794347153,1.89289719405841,1,0,14
254,156249.784776667,1.98023240927232,1,0,14
255,156249.774769037,2.07155414647768,1,0,14
256,156249.764305082,2.16703708149727,1,0,14
257,156249.753364852,2.26686284793135,1,0,14
258,156249.741927611,2.37122024701482,1,0,14
259,156249.729971805,2.48030545693514,1,0,14
260,156249.717475048,2.59432224071203,1,0,14
261,156249.704414089,2.71348215165189,1,0,14
262,156249.6907648,2.83800473527304,1,0,14
263,156249.676502145,2.96811772647834,1,0,14
264,156249.661600163,3.10405724062228,1,0,14
265,156249.646031945,3.24606795698079,1,0,14
266,156249.629769616,3.39440329298514,1,0,14
267,156249.612784317,3.54932556742251,1,0,14
268,156249.595046183,3.71110615064143,1,0,14
269,156249.576524334,3.88002559962209,1,0,14
270,156249.557186855,4.05637377558685,1,0,14
271,156249.537000788,4.2404499416316,1,0,14
272,156249.515932122,4.43256283765492,1,0,14
273,156249.493945786,4.63303072965023,1,0,14
274,156249.471005643,4.84218143020755,1,0,14
275,156249.447074496,5.06035228684553,1,0,14
276,156249.422114087,5.28789013456429,1,0,14
277,156249.396085104,5.52515120877548,1,0,14
278,156249.368947198,5.77250101453012,1,0,14
279,156249.340659,6.03031414773042,1,0,14
280,156249.31117814,6.29897406377952,1,0,14
281,156249.280461283,6.57887278889882,1,0,14
282,156249.248464161,6.87041056912655,1,0,14
283,156249.215141621,7.17399545181364,1,0,14
284,156249.180447671,7.49004279424699,1,0,14
285,156249.144335545,7.81897469387788,1,0,14
286,156249.106757773,8.16121933449783,1,0,14
287,156249.067666255,8.51721024266003,1,0,14
288,156249.027012356,8.887385448465,1,0,14
289,156248.984747004,9.27218654506293,1,0,14
290,156248.940820803,9.67205764105897,1,0,14
291,156248.895184159,10.087444200298,1,0,14
292,156248.847787414,10.5187917636605,1,0,14
293,156248.798581004,10.9665445478257,1,0,14
294,156248.747515618,11.4311439163652,1,0,14
295,156248.694542381,11.9130267190492,1,0,14
296,156248.639613048,12.4126234958916,1,0,14
297,156248.582680217,12.9303565432393,1,0,14
298,156248.523697551,13.4666378401277,1,0,14
299,156248.462620022,14.0218668342048,1,0,14
300,156248.399404168,14.596428087761,1,0,14
301,156248.334008365,15.1906887858108,1,0,14
302,156248.266393117,15.8049961097582,1,0,14
303,156248.196521358,16.4396744819511,1,0,14
304,156248.124358766,17.0950226882869,1,0,14
305,156248.049874097,17.7713108884151,1,0,14
306,156247.973039526,18.4687775249208,1,0,14
307,156247.893830997,19.1876261457852,1,0,14
308,156247.812228583,19.928022156701,1,0,14
309,156247.728216859,20.6900895226509,1,0,14
310,156247.641785265,21.4739074409164,1,0,14
311,156247.552928487,22.2795070105367,1,0,14
312,156247.461646821,23.1068679260965,1,0,14
313,156247.367946547,23.9559152265385,1,0,14
314,156247.27184028,24.826516132422,1,0,14
315,156247.173347322,25.7184770076144,1,0,14
316,156247.072493985,26.6315404837434,1,0,14
317,156246.969313906,27.5653827877616,1,0,14
318,156246.863848321,28.5196113146476,1,0,14
319,156246.756146324,29.493762488437,1,0,14
320,156246.646265081,30.4872999554318,1,0,15
321,156246.534270004,32.7489081957569,2,0,14
322,156246.179719528,36.3489433955041,2,0,14
323,156245.771079452,39.6985404723587,2,0,14
324,156245.349860515,43.3856712120173,2,0,14
325,156244.903730375,47.3540751757767,2,0,14
326,156244.431910746,51.587036639177,2,0,14
327,156243.934964477,56.0655082231089,2,0,14
328,156243.414275336,60.7669657248755,2,0,14
329,156242.871942375,65.665452465863,2,0,14
330,156242.31068904,70.7315841063277,2,0,14
331,156241.73377348,75.9327258153471,2,0,14
332,156241.144893971,81.2334225713714,2,0,14
333,156240.548084459,86.5960731930505,2,0,14
334,156239.947599005,91.9817979703263,2,0,14
335,156239.34778772,97.3514314144131,2,0,14
336,156238.752969495,102.666564709048,2,0,14
337,156238.167308197,107.890563340282,2,0,14
338,156237.594699229,112.989492776503,2,0,14
339,156237.038672506,117.932897799395,2,0,14
340,156236.502316424,122.694397522744,2,0,14
341,156235.98822546,127.252076239123,2,0,14
342,156235.498472057,131.58866787999,2,0,14
343,156235.034601602,135.691547222063,2,0,14
344,156234.597647836,139.552552740584,2,0,14
345,156234.188165039,143.167673593476,2,0,14
346,156233.806272811,146.536636657197,2,0,14
347,156233.451709238,149.662429360713,2,0,14
348,156233.123888472,152.550791114999,2,0,14
349,156232.821959342,155.209701355315,2,0,14
350,156232.544862235,157.648886497062,2,0,14
351,156232.291382209,159.879362198694,2,0,14
352,156232.060196955,161.913021776542,2,0,14
353,156231.84991884,163.762276776867,2,0,14
354,156231.659130705,165.439751755778,2,0,14
355,156231.48641551,166.95803228834,2,0,14
356,156231.330380147,168.32946307044,2,0,14
357,156231.189673947,169.56599158116,2,0,14
358,156231.063002477,170.679052003584,2,0,14
359,156230.949137291,171.679483818164,2,0,14
360,156230.846922259,172.57747955461,2,0,14
361,156230.755277094,173.382556502873,2,0,14
362,156230.673198621,174.103547648953,2,0,14
363,156230.599760285,176.982069452483,3,0,14
364,156229.425280821,188.989684479036,3,0,14
365,156228.36151296,199.50763332207,3,0,14
366,156227.37433629,208.877258064889,3,0,14
367,156226.463573553,217.234997748652,3,0,14
368,156225.63169373,224.654812873988,3,0,14
369,156224.880220092,231.194728781641,3,0,14
370,156224.208647763,236.914634796308,3,0,14
371,156223.614343531,241.880742274671,3,0,14
372,156223.092925793,246.164330809484,3,0,14
373,156222.63881219,249.838646949392,3,0,14
374,156222.245757525,252.975766772876,3,0,14
