Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
0,1280000,0.128000000000107,1,14
0.01,1279990.00002,0.127999999998107,2,15
0.02,1279990.00002,9.12798199994698,3,14
0.03,1279980.00004,18.1279640000579,3,16
0.04,1279980.00004,18.1279640000539,4,15
0.05,1279970.00006,27.1279460000574,4,17
0.06,1279970.00006,27.1279460000554,4,18
0.07,1279960.00008,27.1279460000534,5,19
0.08,1279940.00012,36.1279279998238,8,18
0.09,1279930.00014,63.12785671827,8,20
0.1,1279910.00018,63.1278739998002,11,22
0.11,1279890.00022,90.1278199997999,13,21
0.12,1279880.00024,108.127766718261,13,23
0.13,1279880.00024,108.127783999795,13,23
0.14,1279880.00024,108.127783999795,13,24
0.15,1279880.00024,108.127783999791,15,23
0.16,1279870.00024,117.12778399974,15,26
0.17,1279850.00028,117.127732155123,17,29
0.18,1279830.00032,135.127730718188,19,28
0.19,1279820.00034,153.12767743665,20,31
0.2,1279800.00038,162.127693999717,23,31
0.21,1279790.0004,189.127622718173,23,35
0.22,1279780.00042,189.127639999703,24,38
0.23,1279770.00044,198.127604718157,26,40
0.24,1279740.0005,216.127551436613,29,45
0.25,1279690.0006,243.127514718133,33,47
0.26,1279660.00066,288.127441999647,38,52
0.27,1279620.00074,324.127369999633,40,53
0.28,1279590.0008,342.127333999621,43,56
0.29,1279580.00082,369.127262718079,44,58
0.3,1279560.00086,378.127261999603,46,65
0.31,1279530.00092,396.127191436517,49,67
0.32,1279510.00096,432.12705031035,52,72
0.33,1279480.001,450.127100718019,55,75
0.34,1279450.00106,477.127012873362,59,76
0.35,1279400.00116,504.127027999489,65,77
0.36,1279340.00128,558.126919999465,71,81
0.37,1279300.00136,603.126813436331,75,83
0.38,1279250.00146,639.126740717854,79,91
0.39,1279200.00154,675.126651436293,84,91
0.4,1279160.00162,722.919016934131,89,95
0.41,1279110.00172,756.126541999285,95,99
0.42,1279060.00182,810.12634759158,100,107
0.43,1279030.00188,855.126343999243,103,112
0.44,1279020.0019,882.126272717687,103,125
0.45,1278990.00192,891.126272717619,113,125
0.46,1278900.0021,954.126181999091,116,137
0.47,1278830.00222,999.125989028264,127,138
0.48,1278770.00234,1080.12593072346,133,142
0.49,1278700.00246,1134.12582344188,141,149
0.5,1278660.0025,1179.12566503448,145,156
0.51,1278610.00258,1215.12564559748,154,164
0.52,1278500.00278,1287.12550231588,164,175
0.53,1278450.00288,1368.12528918997,170,186
0.54,1278360.00306001,1413.12523375302,177,192
0.55,1278330.00310001,1476.12512503608,188,196
0.56,1278240.00328001,1566.12501488062,191,207
0.57,1278180.00340001,1593.12499544214,195,220
0.58,1278080.00360001,1647.12485287902,209,228
0.59,1277990.00380001,1755.12458503437,214,238
0.6,1277920.00394001,1811.91703478453,222,248
0.61,1277810.00414001,1899.12434959757,245,258
0.62,1277670.00440001,2052.12397446146,252,273
0.63,1277590.00456001,2115.12381389691,256,285
0.64,1277440.00486001,2216.91624349095,274,296
0.65,1277380.00496001,2322.12340061448,282,309
0.66,1277280.00516001,2421.12334086641,290,325
0.67,1277140.00542001,2511.12304061394,314,341
0.68,1276990.00572001,2648.91529451944,322,359
0.69,1276890.00582001,2727.12264533362,339,376
0.7,1276700.00618001,2871.1225315836,357,392
0.71,1276620.00632001,3015.122278865,378,403
0.72,1276490.00650001,3123.12213486471,390,424
0.73,1276350.00672001,3213.12197430149,410,441
0.74,1276170.00704001,3339.1217071751,430,459
0.75,1275960.00746001,3519.12138173811,445,482
0.76,1275820.00776001,3681.12109230262,460,508
0.77,1275550.00820001,3825.12061492431,493,519
0.78,1275310.00862001,4077.12021820491,523,540
0.79,1275060.00904001,4266.12001447671,557,554
0.8,1274810.00952002,4545.11933909946,589,572
0.81,1274580.00986002,4788.11885453739,624,598
0.82,1274280.01038002,5013.11856294496,653,626
0.83,1274080.01074002,5229.11822166575,684,644
0.84,1273740.01132002,5472.11771838208,714,687
0.85,1273470.01182002,5706.1173583818,756,706
0.86,1273250.01214002,5951.90948483965,789,729
0.87,1272990.01254002,6210.11640869482,817,754
0.88,1272770.01286002,6408.11617111561,844,779
0.89,1272500.01320002,6588.11607822769,885,791
0.9,1272160.01380002,6831.11554541362,924,813
0.91,1271840.01434002,7193.90745444676,972,827
0.92,1271610.01472002,7398.11474623067,1003,842
0.93,1271430.01494002,7623.11419609886,1037,858
0.94,1271080.01558002,7839.11387069203,1077,887
0.95,1270850.01594002,8091.11359350934,1116,916
0.96,1270660.01616002,8316.1134092004,1138,940
0.97,1270300.01682002,8523.11311904357,1190,945
0.98,1270010.01724002,8811.11242566409,1236,953
0.99,1269730.01770002,9090.11208219503,1272,985
1,1269540.01798003,9270.11148100332,1319,998
1.01,1269150.01864003,9569.9035009095,1367,1009
1.02,1268840.01912004,9866.90318916157,1410,1029
1.03,1268410.02606087,10206.1045099354,1460,1049
1.04,1268070.02656087,10532.8964945591,1514,1073
1.05,1267670.02728087,10872.1034990602,1552,1102
1.06,1267330.02150006,11214.1024024602,1630,1096
1.07,1267000.02178004,11592.1079508119,1676,1115
1.08,1266680.02230004,11813.6928320528,1715,1144
1.09,1266490.02248004,12060.1074266791,1761,1171
1.1,1266100.02310005,12267.1071753971,1814,1192
1.11,1265780.02370005,12611.8934871543,1869,1223
1.12,1265360.02446005,12969.1060010878,1924,1261
1.13,1264860.02532005,13365.1050052976,1978,1294
1.14,1264510.02592005,13743.1043565819,2045,1315
1.15,1264120.02658005,14058.1039389867,2084,1370
1.16,1263730.02714005,14445.1032405797,2137,1395
1.17,1263250.02792005,14832.102594014,2217,1407
1.18,1262780.02864005,15237.1022066737,2283,1433
1.19,1262330.02942005,15617.8884334628,2344,1457
1.2,1261970.02986005,15968.8934396104,2416,1479
1.21,1261500.03072005,16416.1001272972,2462,1516
1.22,1261080.03130006,16821.0997910852,2526,1547
1.23,1260670.03188006,17147.8914322288,2604,1569
1.24,1260220.03260007,17559.0982776045,2658,1615
1.25,1259760.03338007,17991.0977131222,2744,1635
1.26,1259260.03414007,18459.0970975332,2814,1674
1.27,1258780.03488007,18830.8888553428,2887,1718
1.28,1258290.03568007,19269.0955963113,2957,1757
1.29,1257850.03624008,19701.0952932205,3044,1767
1.3,1257380.03700007,20099.8870848732,3114,1803
1.31,1256930.03772007,20538.0881907023,3185,1831
1.32,1256460.19655679,20942.9510110711,3248,1871
1.33,1255980.19737679,21383.9502557732,3327,1891
1.34,1255550.19805679,21791.7419401427,3386,1955
1.35,1254950.19893711,22241.7411358763,3481,1966
1.36,1254300.19999711,22778.9478915336,3567,2005
1.37,1253750.20083711,23321.7393586334,3652,2062
1.38,1253170.20177713,23885.9460535414,3739,2102
1.39,1252550.20895795,24344.9452485491,3818,2146
1.4,1251950.20993795,24893.93883695,3909,2197
1.41,1251350.21085795,25469.9321805451,4016,2238
1.42,1250800.21163795,25982.9372680727,4091,2288
1.43,1250070.21295795,26522.935989283,4191,2303
1.44,1249620.21361795,27107.9353586366,4266,2369
1.45,1249000.21459795,27551.7270631599,4372,2403
1.46,1248350.21551795,28187.9332554456,4479,2432
1.47,1247680.21671795,28826.9325059411,4569,2481
1.48,1246920.22423875,29336.516709204,4673,2504
1.49,1246250.22519875,29924.9195767536,4776,2541
1.5,1245620.24458684,30599.9240485616,4890,2580
1.51,1244730.24612686,31295.6986237464,5010,2608
1.52,1243940.25976845,31976.8938411502,5128,2632
1.53,1243270.26076845,32696.8929667903,5223,2715
1.54,1242560.26184845,33308.8916350527,5319,2762
1.55,1241750.26922926,33977.6722660575,5440,2793
1.56,1241120.27016926,34634.6601837444,5554,2877
1.57,1240360.2588877,35258.4683776629,5682,2905
1.58,1239610.2599477,35903.6752461041,5788,2961
1.59,1238850.2611077,36593.8813879884,5897,3042
1.6,1238030.26858828,37277.8918848836,6011,3101
1.61,1237170.27612909,38069.2620256411,6140,3144
1.62,1236220.27132827,38870.2609801859,6259,3216
1.63,1235390.27262827,39701.6747703319,6388,3256
1.64,1234580.27380827,40391.8813457185,6540,3265
1.65,1233710.27504827,41264.8797357654,6672,3323
1.66,1232900.27622828,41942.6712732418,6827,3399
1.67,1231890.2777286,42833.6581732699,6987,3417
1.68,1230990.28530941,43667.8704172082,7128,3482
1.69,1230080.28672941,44444.6618287167,7275,3546
1.7,1229150.28804907,45245.6605495101,7410,3625
1.71,1228230.28934907,46100.6590850798,7583,3652
1.72,1227260.29704989,46952.8660478364,7712,3740
1.73,1226240.29868989,47744.8586526926,7863,3798
1.74,1225330.29998989,48716.8575912458,8005,3849
1.75,1224380.30115011,49508.8560303928,8210,3866
1.76,1223300.30265014,50447.6477070662,8395,3905
1.77,1222110.30455014,51461.8536376908,8552,4001
1.78,1220860.31281092,52568.8516425277,8743,4044
1.79,1219720.31457093,53660.6368411691,8909,4102
1.8,1218660.30979071,54584.8485711946,9080,4155
1.81,1217760.31107072,55532.6340708111,9237,4238
1.82,1216610.31919151,56456.845949733,9411,4297
1.83,1215480.32695231,57446.8385668113,9618,4322
1.84,1214200.32893232,58553.8203573167,9791,4358
1.85,1213240.34283394,59597.8131054293,9938,4434
1.86,1212290.34423392,60440.3966495881,10114,4515
1.87,1211150.34569392,61307.81630801,10286,4579
1.88,1210010.34733395,62357.4052495864,10501,4631
1.89,1208870.35519476,63362.5946161952,10692,4686
1.9,1207640.35709476,64451.4603217441,10883,4756
1.91,1206470.35877477,65480.3894714622,11065,4839
1.92,1205270.36693558,66563.6703142995,11248,4934
1.93,1203910.36285478,67736.5923118758,11491,4982
1.94,1202620.37111559,69047.7925822351,11664,5118
1.95,1201330.37299562,69974.7917709793,11876,5199
1.96,1199872.31634167,71225.161469976,12106,5259
1.97,1198572.31844169,72538.0298783697,12275,5354
1.98,1197302.32026744,73710.8255904004,12524,5390
1.99,1195872.32240744,74968.0372065193,12774,5464
2,1194312.32490745,76287.6197890193,13006,5539
2.01,1192822.48528416,77667.7676633118,13245,5626
2.02,1191232.48764417,78999.6234309651,13451,5719
2.03,1189732.49576522,80364.4658813542,13696,5791
2.04,1188262.49792522,81783.6715757897,13919,5920
2.05,1186582.50040523,83115.6689088444,14160,6010
2.06,1185212.51476685,84495.4601429629,14440,6055
2.07,1183762.5230277,85875.85619177,14669,6157
2.08,1182302.51896691,87150.4393905868,14911,6236
2.09,1180702.52724772,88470.3744416478,15167,6301
2.1,1179252.52934772,89966.6805902482,15388,6404
2.11,1177872.53124774,91113.8428858936,15617,6500
2.12,1176402.53952856,92508.8470138955,15881,6576
2.13,1174732.54198822,93780.6262465295,16179,6630
2.14,1173032.56321059,95400.6287387395,16447,6730
2.15,1171392.5715914,96855.1898969831,16757,6761
2.16,1169922.57347141,98274.3959354633,16976,6902
2.17,1167952.59525386,99721.640043897,17321,6937
2.18,1165972.59833389,101565.580912981,17604,7042
2.19,1164432.60680416,103128.659507514,17915,7083
2.2,1162672.584261,104634.594023445,18192,7190
2.21,1161002.57435946,106206.798752844,18437,7338
2.22,1159222.57682999,107733.265704379,18735,7432
2.23,1157322.57945,109395.449325382,19035,7514
2.24,1155402.59479157,111030.79184392,19368,7580
2.25,1153612.59715189,112778.959505623,19691,7659
2.26,1151892.5994919,114398.951088153,19967,7791
2.27,1150152.60813249,115917.083021582,20271,7864
2.28,1148382.60441171,117468.569546566,20577,7964
2.29,1146342.60733171,119151.572505638,20897,8045
2.3,1144392.61029172,121026.22973887,21185,8180
2.31,1142372.61347168,122658.019557818,21536,8255
2.32,1140452.61605174,124446.357060644,21861,8357
2.33,1138692.62465255,126147.343943692,22172,8428
2.34,1136752.78481493,127812.05183292,22513,8543
2.35,1134732.78779495,129564.139234564,22847,8641
2.36,1132682.63331331,131432.992189333,23216,8705
2.37,1130572.63627332,133410.190643688,23575,8780
2.38,1128412.64491462,135237.341571256,23919,8913
2.39,1126272.64833462,137202.737937245,24292,9006
2.4,1124022.75627178,139095.532634801,24623,9130
2.41,1122042.77129337,141021.424919637,24984,9228
2.42,1120052.77385369,142896.203696536,25323,9376
2.43,1118032.77663369,144657.419673031,25753,9430
2.44,1115892.77975369,146520.416916497,26071,9569
2.45,1114132.7820537,148419.402979528,26375,9750
2.46,1111992.79103426,149990.991515484,26822,9766
2.47,1109852.79433424,152004.196244523,27190,9907
2.48,1107392.80437507,154092.192629502,27632,9961
2.49,1105112.80779509,156249.380982261,27959,10148
2.5,1102752.82347695,158157.378163929,28397,10249
2.51,1100312.82675693,160419.166847367,28783,10358
2.52,1097712.98849399,162600.579081367,29184,10511
2.53,1095312.98539347,164792.876439503,29568,10613
2.54,1093252.98819326,166922.601095713,29943,10784
2.55,1090732.83375292,168933.0125136,30389,10919
2.56,1088422.83649294,171161.743020487,30829,10976
2.57,1086313.00363047,173172.00324706,31205,11110
2.58,1084073.00665102,175026.000007345,31623,11227
2.59,1081542.85233461,177251.919752484,32059,11325
2.6,1078802.85625463,179676.347941058,32496,11433
2.61,1076512.85943497,181872.061100538,32892,11555
2.62,1074012.86279496,184014.331517783,33330,11668
2.63,1071572.86617497,186309.328619047,33780,11742
2.64,1069012.87561599,188466.532755513,34187,11905
2.65,1066472.88558048,190650.114686158,34678,11986
2.66,1063782.90150206,193113.307250553,35109,12129
2.67,1061263.01625968,195387.512151098,35561,12235
2.68,1058553.32352765,197846.768376971,36119,12235
2.69,1056233.32638763,200189.711726936,36545,12402
2.7,1053783.32948765,202340.697071361,37014,12496
2.71,1051003.18769264,204536.700138778,37523,12572
2.72,1048403.20367428,206999.407620984,37981,12651
2.73,1045943.06141948,209120.748010775,38415,12782
2.74,1043323.06503947,211583.935500011,38867,12922
2.75,1040682.96332258,213795.008904995,39401,12979
2.76,1038212.97906394,216224.603282919,39830,13136
2.77,1035642.98244395,218646.234288678,40327,13220
2.78,1032882.98640375,220802.810473796,40845,13281
2.79,1030452.98322333,223373.403197515,41346,13332
2.8,1028132.97340201,225486.2309898,41777,13411
2.81,1025813.2983363,227465.939272398,42255,13513
2.82,1023493.45907354,229535.941771872,42707,13605
2.83,1021243.32259927,231668.790854513,43156,13650
2.84,1018953.32547929,233660.723069928,43662,13683
2.85,1016513.49319742,235919.566510813,44086,13868
2.86,1013793.0228881,238019.350822254,44653,13890
2.87,1011073.13832175,240509.880772449,45082,14031
2.88,1008363.62845917,242990.652309721,45588,14122
2.89,1005683.63813998,245414.44173172,46133,14116
2.9,1003243.63489918,247769.629134988,46533,14265
2.91,1001033.64366017,249749.500466127,46982,14385
2.92,998333.325578068,252008.902333912,47520,14421
2.93,995913.341239421,254414.697431286,48001,14529
2.94,993253.350660269,256631.962153527,48508,14631
2.95,990503.366621882,259112.559129854,49022,14744
